date,USD,EUR
2024-06-14,88.208,94.8324
2024-06-15,89.0658,95.1514
2024-06-16,89.0658,95.1514
2024-06-17,89.0658,95.1514
2024-06-18,89.0499,95.3906
2024-06-19,87.0354,93.2994
2024-06-20,82.6282,89.0914
2024-06-21,85.4176,91.4543
2024-06-22,87.9595,94.2606
2024-06-23,87.9595,94.2606
2024-06-24,87.9595,94.2606
2024-06-25,87.373,94.0759
2024-06-26,87.277,93.7347
2024-06-27,87.8064,94.1131
2024-06-28,84.964,90.9874
2024-06-29,85.748,92.4184
2024-06-30,85.748,92.4184
2024-07-01,85.748,92.4184
2024-07-02,87.2972,93.9582
2024-07-03,87.9921,93.695
2024-07-04,87.9506,94.5829
2024-07-05,88.1205,94.9836
2024-07-06,88.1348,95.57
2024-07-07,88.1348,95.57
2024-07-08,88.1348,95.57
2024-07-09,88.1688,95.6624
2024-07-10,88.0031,95.3447
2024-07-11,87.8551,95.3206
2024-07-12,87.988,95.6817
2024-07-13,87.7427,95.7588
2024-07-14,87.7427,95.7588
2024-07-15,87.7427,95.7588
2024-07-16,87.8077,95.7849
2024-07-17,88.2824,96.2637
2024-07-18,88.0872,96.3046
2024-07-19,87.8754,96.1018
2024-07-20,88.0206,96.0371
2024-07-21,88.0206,96.0371
2024-07-22,88.0206,96.0371
2024-07-23,87.7805,95.7591
2024-07-24,87.299,95.4598
2024-07-25,86.5502,94.3758
2024-07-26,85.41,93.1711
2024-07-27,85.565,93.2641
2024-07-28,85.565,93.2641
2024-07-29,85.565,93.2641
2024-07-30,86.5554,94.1381
2024-07-31,86.33,93.2947
2024-08-01,86.1091,93.5149
2024-08-02,85.7833,92.8499
2024-08-03,85.7024,92.8291
2024-08-04,85.7024,92.8291
2024-08-05,85.7024,92.8291
2024-08-06,84.9471,93.0409
2024-08-07,85.1646,93.0265
2024-08-08,85.9543,93.8419
2024-08-09,86.5621,94.1333
2024-08-10,87.992,95.1844
2024-08-11,87.992,95.1844
2024-08-12,87.992,95.1844
2024-08-13,89.9475,96.6852
2024-08-14,92.6592,100.559
2024-08-15,90.0055,100.3139
2024-08-16,88.796,98.3232
2024-08-17,88.9062,97.839
2024-08-18,88.9062,97.839
2024-08-19,88.9062,97.839
2024-08-20,89.5428,98.9355
2024-08-21,90.6944,100.204
2024-08-22,91.6862,101.9508
2024-08-23,91.2881,101.6207
2024-08-24,91.6012,101.6125
2024-08-25,91.6012,101.6125
2024-08-26,91.6012,101.6125
2024-08-27,91.7745,102.4927
2024-08-28,91.4807,102.2911
2024-08-29,91.4449,102.0798
2024-08-30,91.4548,101.7714
2024-08-31,91.1868,100.7622
2024-09-01,91.1868,100.7622
2024-09-02,91.1868,100.7622
2024-09-03,90.0013,99.2613
2024-09-04,88.6118,97.8121
2024-09-05,88.9288,98.0725
2024-09-06,89.7044,99.1927
2024-09-07,89.8225,99.7156
2024-09-08,89.8225,99.7156
2024-09-09,89.8225,99.7156
2024-09-10,90.3853,99.9067
2024-09-11,91.1127,100.4995
2024-09-12,91.2653,100.7421
2024-09-13,91.1096,100.3907
2024-09-14,90.9345,100.7958
2024-09-15,90.9345,100.7958
2024-09-16,90.9345,100.7958
2024-09-17,91.1423,101.2789
2024-09-18,91.4292,101.5057
2024-09-19,91.6712,102.039
2024-09-20,92.6962,103.249
2024-09-21,92.5848,103.3773
2024-09-22,92.5848,103.3773
2024-09-23,92.5848,103.3773
2024-09-24,92.92,103.2191
2024-09-25,92.8622,103.41
2024-09-26,92.388,103.4758
2024-09-27,92.4074,103.1931
2024-09-28,92.7126,103.4694
2024-09-29,92.7126,103.4694
2024-09-30,92.7126,103.4694
2024-10-01,93.2221,104.1735
2024-10-02,93.3581,103.6502
2024-10-03,94.5054,104.4481
2024-10-04,95.0262,104.8664
2024-10-05,94.87,104.7424
2024-10-06,94.87,104.7424
2024-10-07,94.87,104.7424
2024-10-08,96.0649,105.3069
2024-10-09,96.1079,105.6891
2024-10-10,96.9483,106.4175
2024-10-11,97.2394,106.5074
2024-10-12,96.0686,105.1095
2024-10-13,96.0686,105.1095
2024-10-14,96.0686,105.1095
2024-10-15,96.1021,105.4854
2024-10-16,97.0121,105.6757
2024-10-17,97.2568,106.0844
2024-10-18,97.149,105.756
2024-10-19,96.4172,104.8565
2024-10-20,96.4172,104.8565
2024-10-21,96.4172,104.8565
2024-10-22,96.0924,104.4016
2024-10-23,96.5918,104.866
2024-10-24,96.6379,104.3815
2024-10-25,96.7402,104.5139
2024-10-26,96.6657,104.8094
2024-10-27,96.6657,104.8094
2024-10-28,96.6657,104.8094
2024-10-29,97.23,105.2229
2024-10-30,97.3261,105.4375
2024-10-31,97.053,105.2211
2024-11-01,97.0226,105.5231
2024-11-02,97.4402,105.8415
2024-11-03,97.5499,106.1426
2024-11-04,97.5499,106.1426
2024-11-05,97.5499,106.1426
2024-11-06,98.0562,106.8883
2024-11-07,98.2236,105.7086
2024-11-08,98.0726,105.5679
2024-11-09,97.8335,105.451
2024-11-10,97.8335,105.451
2024-11-11,97.8335,105.451
2024-11-12,97.955,104.8522
2024-11-13,97.9559,104.2533
2024-11-14,98.3657,104.2901
2024-11-15,99.018,104.5016
2024-11-16,99.9971,105.7072
2024-11-17,99.9971,105.7072
2024-11-18,99.9971,105.7072
2024-11-19,99.943,105.4606
2024-11-20,100.0348,105.7338
2024-11-21,100.2192,105.809
2024-11-22,100.6798,106.0762
2024-11-23,102.5761,107.4252
